Tab,Item Header 1,Item Header 2,Current Label,Updated Label
Customize Inputs,Input Set 1,,Mofreda,
Customize Inputs,Input Set 1,,Mapspam,
Customize Inputs,Input Set 1,,File,
Customize Inputs,Input Set 1,,Density Threshold,
Customize Inputs,Input Set 1,,Link Threshold,
Customize Inputs,Input Set 1,,Aggregation Strategy,
Customize Inputs,Input Set 1,,Distance Strategy,
Customize Inputs,Input Set 1,,Resolution,
Customize Inputs,Input Set 1,,Geo Extent,
Customize Inputs,Input Set 2,Network Metrics,Inverse Power Law,
Customize Inputs,Network Metrics,Inverse Power Law,node_strength,
Customize Inputs,Network Metrics,Inverse Power Law,sum_of_nearest_neighbors,
Customize Inputs,Network Metrics,Inverse Power Law,eigenvector_centrality,
Customize Inputs,Network Metrics,Inverse Power Law,betweeness,
Customize Inputs,Network Metrics,Inverse Power Law,closeness,
Customize Inputs,Network Metrics,Inverse Power Law,degree,
Customize Inputs,Network Metrics,Inverse Power Law,page_rank,
Customize Inputs,Network Metrics,Network Metrics,Negative Exponential,
Customize Inputs,Network Metrics,Negative Exponential,node_strength,
Customize Inputs,Network Metrics,Negative Exponential,sum_of_nearest_neighbors,
Customize Inputs,Network Metrics,Negative Exponential,eigenvector_centrality,
Customize Inputs,Network Metrics,Negative Exponential,betweeness,
Customize Inputs,Network Metrics,Negative Exponential,closeness,
Customize Inputs,Network Metrics,Negative Exponential,degree,
Customize Inputs,Network Metrics,Negative Exponential,page_rank,
Customize Inputs,,Inverse Power Law,Beta,
Customize Inputs,,Negative Exponential,Gamma,
Customize Inputs,Input Set 3,Priority Maps,OutDir,
Customize Inputs,Input Set 3,Priority Maps,MeanCC,
Customize Inputs,Input Set 3,Priority Maps,Difference,
Customize Inputs,Input Set 3,Priority Maps,Variance,
